tweet_no,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,rt mention a a woman you shouldnt complain about cleaning up your house a a man you should always take the trash out
1,3,0,3,0,1,rt mention boy dat coldtyga dwn bad for cuffin dat hoe in the st place
2,3,0,3,0,1,rt mention dawg rt mention you ever fuck a bitch and she start to cry you be confused a shit
3,3,0,2,1,1,rt mention mention she look like a tranny
4,6,0,6,0,1,rt mention the shit you hear about me might be true or it might be faker than the bitch who told it to ya hashtag
5,3,1,2,0,1,mention the shit just blow meclaim you so faithful and down for somebody but still fucking with hoe hashtag
6,3,0,3,0,1,mention i can not just sit up and hate on another bitch i got too much shit going on
7,3,0,3,0,1,hashtag cause im tired of you big bitch coming for u skinny girlshashtag
8,3,0,3,0,1,you might not get ya bitch back thats that
9,3,1,2,0,1,mention hobby include fighting mariam bitch
10,3,0,3,0,1,keeks is a bitch she curve everyone lol i walked into a conversation like this smh
11,3,0,3,0,1,murda gang bitch it gang land
12,3,0,2,1,1,so hoe that smoke are loser yea go on ig
13,3,0,3,0,1,bad bitch is the only thing that i like
14,3,1,2,0,1,bitch get up off me
15,3,0,3,0,1,bitch nigga miss me with it
16,3,0,3,0,1,bitch plz whatever
17,3,1,2,0,1,bitch who do you love
18,3,0,3,0,1,bitch get cut off everyday b
19,3,0,3,0,1,black bottle a bad bitch
20,3,0,3,0,1,broke bitch cant tell me nothing
21,3,0,3,0,1,cancel that bitch like nino
22,3,0,3,0,1,cant you see these hoe wont change
23,3,0,3,0,1,fuck no that bitch dont even suck dick hashtag the kermit video bout to fuck ig up
24,3,0,3,0,1,got ya bitch tip toeing on my hardwood floor hashtag httplink
25,3,0,2,1,1,her pussy lip like heaven door hashtag
26,3,0,3,0,1,hoe what it hitting for
27,3,0,3,0,1,i met that pussy on ocean dr i gave that pussy a pill hashtag
28,3,0,3,0,1,i need a trippy bitch who fuck on hennessy
29,3,0,3,0,1,i spend my money how i want bitch it my business
30,3,0,3,0,1,i txt my old bitch my new bitch pussy wetter
31,3,0,3,0,1,id say im back to the old me but my old bitch would get excited hashtag
32,3,0,3,0,1,if you aint bout that murder game pussy nigga shut up
33,3,0,3,0,1,if youre toe aint done you pussy stink
34,3,0,3,0,1,im done with bitter bitch it a wrap for that if you a angry bird there a app for that
35,3,0,3,0,1,is that ya bitch
36,3,0,3,0,1,it aint nothing to cut a bitch off
37,3,0,3,0,1,jus meet son now he ya mane as bitch hashtag
38,3,0,2,1,1,lame cry over hoe thats tear of a clown
39,3,0,3,0,1,like snoop said in  we dont love these hoe
40,3,0,1,2,2,momma said no pussy cat inside my doghouse
41,3,0,3,0,1,most hated but the hoe favorite hashtag hashtag httplink
42,3,0,3,0,1,nice girl bad make me get naughty bad yello hoe real nice body down south chick like em real thick httplink
43,3,0,3,0,1,pimp up pimp up hoe down future voice
44,3,0,3,0,1,post a picture of that pussy get  like
45,3,0,3,0,1,pussy is a powerful drug hashtag hashtag httplink
46,3,0,3,0,1,quick piece of pussy call it a drive by
47,3,0,3,0,1,running round here like some brand new pussy thats bout to get fucked
48,3,0,3,0,1,these bitch even worst theyll send them guy for you
49,3,1,2,0,1,these hoe like nigga that spend money not talk bout it
50,3,1,2,0,1,we dont trust these nigga all these bitch
51,3,0,3,0,1,yall nigga b cuffing hoe cause yall aint never have bitch
52,3,0,3,0,1,you dodge a bullet hashtag hashtag all da bitch i cut off pregnant or bound to be thank god hashtaghashtag
53,3,0,3,0,1,young pill chamberlain these bitch love my music
54,3,0,2,1,1,hashtag teanna trump probably cleaner than most of these twitter hoe but
55,3,0,3,0,1,hashtag gay nigga couldnt wait to act like bitch tonight
56,3,0,3,0,1,hashtag and ima steal his cat n replace it with a pitbull hashtag rt mention mention he a bitch you should do it
57,3,0,3,0,1,he gone always be a hoe
58,3,0,3,0,1,son of a bitch took my tic tacs i like this movie
59,3,0,3,0,1,all i wanna do is get money and fuck model bitch russell simmons
60,3,0,2,1,1,mention i probably wouldnhashtag mind school a much if we didnhashtag have to deal with bitch as teacher retweet
61,3,0,3,0,1,mention im a fucking fag they said
62,3,0,3,0,1,mention female think dating a pussy is cute now httplink how doe doing this stuff make him a pussy
63,3,0,0,3,2,mention simplyaddictedtoguys httplink woof woof hot scally lad
64,3,0,3,0,1,mention have ya ever asked your bitch for other bitch kanye voice yes
65,3,0,3,0,1,mention how u gone bring ur side bitch to a game where you know ya gf friend at hashtag i swear
66,3,0,1,2,2,mention httplink woof woof and hot sol
67,3,0,1,2,2,mention lemmie eat a oreo do these dish one oreo lol
68,3,0,3,0,1,mention mention mention bitch fuck u httplink maybe youll get better just httplink
69,3,1,2,0,1,mention fuck red malone man bitch as niggah could you please use complete sentence
70,3,0,0,3,2,mention why the eggplant emoji doey he say she looked like scream lmao
71,3,0,3,0,1,mention hennessey venom gt hashtag httplink thats one sexy bitch
72,3,0,3,0,1,mention him seh me pussy wetter then a shower curtainhashtaglmao
73,3,0,3,0,1,mention hashtag and every hashtag need to see that pic i just posted because that bitch just said the most racist shit
74,3,1,2,0,1,mention yo fuck skateboarding all yall some wood pushing faggot man ball is life httplink mention
75,3,0,1,2,2,mention baby monkey bathtime httplink awwwwe this is soooo adorable
76,3,0,3,0,1,mention hashtag i aint shit damn skippy lol
77,3,1,2,0,1,mention u ever kill a ant on the sidewalk and think damn what if that nigga wa on his way to get some pussyno b must b chance
78,3,0,3,0,1,mention mention httplink  ring  mvp  bitch lol
79,3,1,2,0,1,mention ppl talk bad about the ghettohood but a a kid growing up a nigga had funnnnnnn
80,9,0,7,2,1,mention the fact on tattoostattoo httplink he a pussy with not tattooing them nipple
81,3,0,3,0,1,mention hashtag rt mention bitch be wanting to act like nigga so bad hashtag that shit aint cuteeeee but nigga act like bitch
82,3,0,3,0,1,mention get worshiping bitch httplink woof woof
83,3,1,2,0,1,mention wow rt mention im lost are those buttcheek piercings httplink yeah shes a hoe
84,3,0,3,0,1,mention ok si shed rather be a broke bitch shrug shell have to tell me how it work for her
85,3,2,1,0,0,mention mention mention queer gaywad
87,3,0,3,0,1,mention mention faggot read my tweet after dat k it wasnt even funny lol
88,3,0,3,0,1,mention this bitch wa so ungrateful httplink fr lulwhore
89,3,0,3,0,1,mention i been kidnapped yo bitch
90,3,3,0,0,0,mention mention alsarabsss he a beaner smh you can tell he a mexican
91,3,1,2,0,1,mention mention happy birthday nigs thanks yo
92,6,1,5,0,1,mention when ur teacher tell u that u have homework httplink this bitch need to go
93,3,1,2,0,1,mention mention mention that nigga wa eating that hoe lol hell yea lol john paul nigga said john paul httplink
94,3,0,3,0,1,mention what would yall lil ugly bald headed bitch do if they stop making makeup weave
95,3,1,2,0,1,mention leaf better win this damn game so i can go riot and shit hashtag you better start looting my nig
96,3,0,3,0,1,mention going back to school suck more dick than the hoe who attend it
97,3,0,3,0,1,mention on my way to fuck yo bitch httplink me a a  year old
98,3,0,3,0,1,mention mention how come you never bring me food i dont have a car retard
99,3,0,3,0,1,mention if richnow doesnt show up with hella tinder hoe im not his friend anymore chill i brought like like  prople
100,3,1,2,0,1,mention how bout them cowboy shutup pussy
101,3,0,3,0,1,mention lmaooooooooooo this nigga mention httplink bitch want like for some depressing shitfoh
102,3,0,3,0,1,mention mention girl you know i wa spitting that g shit to you you wa going lbvsbitch plz
103,3,0,3,0,1,mention let me make a couple tweet off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again
104,3,0,2,1,1,mention harlem shake is just an excuse to go full retard for  second
105,3,0,3,0,1,mention amen miley hashtag httplinkokay but she dont need to act like a hoe just bc shes emotionally damaged foh
106,3,0,3,0,1,mention having one loyal female is wayyyyy better than having hoe idc hashtag
107,3,0,3,0,1,mention pussy licking pussy meow meow hashtag hashtag httplink hashtag
108,3,0,3,0,1,mention check out our th man hashtag even with all those faggot ny fan in the stand
109,3,0,3,0,1,mention what happen to them vixen ent bitch they got ran and threw to the side like a foothill bitch
110,3,0,3,0,1,mention mention im the bitch okay nude pat hashtag wow
111,3,3,0,0,0,mention mention youre fucking gay blacklisted hoe holding out for hashtag anyway httplink
112,3,0,3,0,1,mention the fuck be wrong with these bitch nobody know
113,3,0,3,0,1,mention yall shut upp make me bitch
114,3,1,2,0,1,mention i hate a im pregnant type of bitch
115,3,0,3,0,1,mention got bitch in the dm but i dont ever readem which is y your top 
116,3,0,0,3,2,mention baseball season for the win hashtag this is where the love started
117,3,0,3,0,1,mention little stupid a bitch i dont fuck with yoooooouuuu
118,3,0,3,0,1,mention she really asked me that dead as serious tho all i could say wa bitch wheet lol
119,3,0,0,3,2,mention im an early bird and im a night owl so im wise and have worm
120,3,0,1,2,2,mention overdosing on heavy drug doesnt sound bad tonight i do that pussy shit every day
121,3,0,0,3,2,mention pit bull photographed a lovely fairy tale creature httplink they are fairy tale creature
122,3,0,3,0,1,mention mention aw fag dont tweet aw to me lol
123,3,0,0,3,2,mention a long a the lakers trash from now on i could careless and thats real cc mention hahaha
124,3,0,3,0,1,mention mention i didnt say anything tho kiss me then faggot
125,3,0,0,3,2,mention this the i play soccer cheat on girl and wear khaki coloured cargo haircut httplink hashtag yup
126,3,0,3,0,1,mention i could go for a fat as bitch on my lap same
127,3,0,3,0,1,mention  missed call hashtagdas yo po bitch twitter finna be screamn hashtag
128,6,0,6,0,1,mention ya side bitch gotta know it rule to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao hashtag
129,3,0,3,0,1,mention hashtag  amo los pie httplink fuck yeah
130,3,0,3,0,1,mention these hoe be thinking meat wont slap they as hashtag ainna bruh
131,3,0,3,0,1,mention yall bitch wit no edge be doing the most talking hashtaghashtag
132,3,0,3,0,1,mention yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitch bag n shit
133,3,0,3,0,1,mention i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
134,6,0,6,0,1,mention if she kiss u with her eye open watch that bitchlmfao
135,3,0,3,0,1,mention you a woulda coulda shoulda as hoe hashtag
136,3,0,3,0,1,mention happy bday bitch as nigga mentionpreciate that bitch roll up
137,3,0,3,0,1,mention mention mention used to send that bitch up
138,6,0,6,0,1,mention ugly bitch be like im my own wcw duh bitch you aint nobody elseshashtag
139,3,1,2,0,1,mention mention nigga you know we hacky sack hoe nah i throw no look pass lmao
141,3,1,2,0,1,mention glad im getting outta atlanta nothing but a bunch of nigga in outta jail dumb bitch with mad kid fuckin em
142,3,0,1,2,2,mention this isnt ghettoits smart httplink im doing this idc
143,3,0,2,1,1,mention i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
144,3,0,3,0,1,mention being single isnt an excuse to be a hoe mention
145,3,1,2,0,1,mention white boy power bitch black power bitch
146,3,0,3,0,1,mention let get drunk get blowed spit shit spark blunts fuck hoe bro white dude have no chill
147,3,0,3,0,1,mention mention bitch where u been around the world and back where you been
148,3,0,3,0,1,mention mention if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off hashtag by mention
149,3,0,2,1,1,mention hashtag is soooo cute but he probably ha hoe on him a lot
150,3,0,3,0,1,mention in every cartoon theirs alway a mention saving these hoe lmao httplink lmao damn captain saveahoe
151,3,0,1,2,2,mention who want to get there nose in these bad bois then hashtag hashtag hashtag hashtag httplink hot sox and leg
152,3,0,3,0,1,mention i wish i wa a bitch like my brother keezy hashtag ooooow i bet you do
153,6,0,6,0,1,mention if you dressed up a a cat for halloween you are basic or a pussy
154,4,0,4,0,1,mention can pornhub just get a gaming stream feature so these dumb bitch can gtfo mention get on it katie
155,3,0,3,0,1,mention stop being scared to choke her during sex u bitch as nigga shehashtag like it say the guy who hit woman out of bed foh
156,3,0,3,0,1,mention mention ha well iguess i make them hoe loyal bro theyll never be loyal that y they hoe my nig
157,6,0,6,0,1,mention mention oh man it  am you off a molly ho where the fuck ya seed at hashtag
158,3,0,3,0,1,mention youre not a man if you refer to every girl a a bitch
159,3,0,3,0,1,mention lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
160,3,0,1,2,2,mention peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash
161,3,0,2,1,1,mention mention io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
162,3,0,3,0,1,mention mention naw it my old tape new cover my upcoming mixtape is hashtag yeah im waiting on that hoe mayne
163,3,0,3,0,1,mention ol dirty foot as bitch this wa too funny to me
164,3,0,3,0,1,mention mention thats where i get my yellow flag for being amazing hashtag hell yeah niggy
165,3,0,3,0,1,mention dont got time for bitch to be actin iffy
166,3,0,0,3,2,mention hashtag come on stay alive knight nation this is still the early bird special hashtag
167,3,0,2,1,1,mention these hoe aint loyal no they aint httplink smfh wonder why nobody decent want them
168,3,0,3,0,1,mention bruh you stud keep thinking im soft a hell ask ya girl how many time she screamed she wa my bitch oh okay stfu bye hoe
169,3,0,3,0,1,mention dry pussy bitch always blame it on the condomhashtaghashtag
170,3,0,3,0,1,mention shut yo bitch as up httplink hashtag
171,3,0,3,0,1,mention gucci mane in jail and dropping mixtapes every month and you hoe cant even text back
172,3,0,3,0,1,mention you love these hoe more then money wats wrong these nigga
173,6,0,6,0,1,mention a loyal bitch from the burbs without daddy issue is like finding a holographic mewtwo sounding like me over there lol
174,3,0,3,0,1,mention easy cum easy hoe thats a fact
